scale,policy,instance_idx,solved,cumulative_flips,best_flips,n_tries,time_s
n12,minbreak,0,True,7340,16,10,0.3066
n12,minbreak,1,True,496,18,10,0.0283
n12,minbreak,2,True,526,19,10,0.0302
n12,minbreak,3,True,846,23,10,0.0422
n12,minbreak,4,True,2750,23,10,0.119
n12,minbreak,5,True,2887,16,10,0.1239
n12,minbreak,6,True,5005,23,10,0.2105
n12,minbreak,7,True,6278,25,10,0.2644
n12,minbreak,8,True,2860,17,10,0.123
n12,minbreak,9,True,431,34,10,0.0262
n12,minbreak,10,True,6176,24,10,0.255
n12,minbreak,11,True,525,28,10,0.0302
n12,minbreak,12,True,1254,23,10,0.0583
n12,minbreak,13,True,709,15,10,0.0367
n12,minbreak,14,True,641,19,10,0.034
n12,minbreak,15,True,613,18,10,0.0332
n12,minbreak,16,True,5032,21,10,0.2116
n12,minbreak,17,True,430,15,10,0.0259
n12,minbreak,18,True,8501,23,10,0.35
n12,minbreak,19,True,981,14,10,0.0477
n12,minbreak,20,True,6175,19,10,0.2545
n12,minbreak,21,True,422,19,10,0.0247
n12,minbreak,22,True,6330,24,10,0.2642
n12,minbreak,23,True,806,21,10,0.0409
n12,minbreak,24,True,1688,16,10,0.0761
n12,minbreak,25,True,509,21,10,0.0283
n12,minbreak,26,True,5003,20,10,0.2088
n12,minbreak,27,True,1133,26,10,0.0541
n12,minbreak,28,True,383,19,10,0.0239
n12,minbreak,29,True,2154,16,10,0.0942
n12,minbreak,30,True,6186,17,10,0.2581
n12,minbreak,31,True,2884,30,10,0.1254
n12,minbreak,32,True,1374,22,10,0.0631
n12,minbreak,33,True,547,17,10,0.0305
n12,minbreak,34,True,725,23,10,0.0387
n12,minbreak,35,True,3407,16,10,0.1431
n12,minbreak,36,True,503,18,10,0.0289
n12,minbreak,37,True,1518,21,10,0.0705
n12,minbreak,38,True,1270,17,10,0.0592
n12,minbreak,39,True,2085,23,10,0.0903
n12,minbreak,40,True,7390,22,10,0.3006
n12,minbreak,41,True,9655,20,10,0.397
n12,minbreak,42,True,434,28,10,0.0262
n12,minbreak,43,True,659,22,10,0.0346
n12,minbreak,44,True,1554,14,10,0.0707
n12,minbreak,45,True,440,14,10,0.0257
n12,minbreak,46,True,6144,16,10,0.2537
n12,minbreak,47,True,3036,24,10,0.1301
n12,minbreak,48,True,1323,19,10,0.0608
n12,minbreak,49,True,1700,19,10,0.0764
n12,minbreak,50,True,1030,32,10,0.049
n12,minbreak,51,True,7363,20,10,0.3041
n12,minbreak,52,True,561,17,10,0.0309
n12,minbreak,53,True,749,21,10,0.0384
n12,minbreak,54,True,2683,18,10,0.1155
n12,minbreak,55,True,5005,18,10,0.2078
n12,minbreak,56,True,7328,17,10,0.3026
n12,minbreak,57,True,4279,24,10,0.1796
n12,minbreak,58,True,1749,24,10,0.0777
n12,minbreak,59,True,412,17,10,0.0255
n12,minbreak,60,True,3062,23,10,0.1326
n12,minbreak,61,True,477,14,10,0.0274
n12,minbreak,62,True,1320,28,10,0.0622
n12,minbreak,63,True,680,17,10,0.035
n12,minbreak,64,True,3607,15,10,0.1521
n12,minbreak,65,True,1583,21,10,0.0717
n12,minbreak,66,True,5269,33,10,0.2174
n12,minbreak,67,True,1753,22,10,0.0775
n12,minbreak,68,True,972,22,10,0.0479
n12,minbreak,69,True,6300,17,10,0.2652
n12,minbreak,70,True,1346,16,10,0.0661
n12,minbreak,71,True,402,16,10,0.0239
n12,minbreak,72,True,3973,20,10,0.1684
n12,minbreak,73,True,4012,19,10,0.171
n12,minbreak,74,True,7357,25,10,0.3022
n12,minbreak,75,True,657,11,10,0.0351
n12,minbreak,76,True,5012,16,10,0.2074
n12,minbreak,77,True,3948,22,10,0.1665
n12,minbreak,78,True,5080,22,10,0.2132
n12,minbreak,79,True,2836,16,10,0.1222
n12,minbreak,80,True,2448,17,10,0.107
n12,minbreak,81,True,643,16,10,0.034
n12,minbreak,82,True,637,20,10,0.0333
n12,minbreak,83,True,812,21,10,0.0407
n12,minbreak,84,True,6329,27,10,0.2582
n12,minbreak,85,True,778,20,10,0.0398
n12,minbreak,86,True,937,18,10,0.0454
n12,minbreak,87,True,2200,19,10,0.0953
n12,minbreak,88,True,5265,27,10,0.2207
n12,minbreak,89,True,2202,59,10,0.0949
n12,minbreak,90,True,591,25,10,0.0322
n12,minbreak,91,True,7539,17,10,0.3102
n12,minbreak,92,True,6214,30,10,0.2566
n12,minbreak,93,True,447,16,10,0.0266
n12,minbreak,94,True,10876,76,10,0.443
n12,minbreak,95,True,778,25,10,0.0398
n12,minbreak,96,True,3990,16,10,0.168
n12,minbreak,97,True,3825,22,10,0.1618
n12,minbreak,98,True,438,21,10,0.026
n12,minbreak,99,True,705,20,10,0.0367
n12,noveltyplus,0,True,667,25,10,0.0357
n12,noveltyplus,1,True,539,18,10,0.0302
n12,noveltyplus,2,True,331,21,10,0.0221
n12,noveltyplus,3,True,632,29,10,0.0337
n12,noveltyplus,4,True,640,14,10,0.0342
n12,noveltyplus,5,True,322,19,10,0.0214
n12,noveltyplus,6,True,1080,23,10,0.0522
n12,noveltyplus,7,True,454,19,10,0.0266
n12,noveltyplus,8,True,489,20,10,0.0276
n12,noveltyplus,9,True,391,17,10,0.0241
n12,noveltyplus,10,True,626,19,10,0.0329
n12,noveltyplus,11,True,368,20,10,0.0235
n12,noveltyplus,12,True,405,16,10,0.024
n12,noveltyplus,13,True,496,24,10,0.0283
n12,noveltyplus,14,True,490,16,10,0.0276
n12,noveltyplus,15,True,378,18,10,0.0237
n12,noveltyplus,16,True,591,19,10,0.0316
n12,noveltyplus,17,True,234,15,10,0.0178
n12,noveltyplus,18,True,603,13,10,0.0322
n12,noveltyplus,19,True,655,23,10,0.034
n12,noveltyplus,20,True,507,16,10,0.0286
n12,noveltyplus,21,True,322,17,10,0.0212
n12,noveltyplus,22,True,534,20,10,0.0296
n12,noveltyplus,23,True,408,21,10,0.0248
n12,noveltyplus,24,True,532,17,10,0.03
n12,noveltyplus,25,True,360,19,10,0.0235
n12,noveltyplus,26,True,416,20,10,0.0252
n12,noveltyplus,27,True,319,18,10,0.021
n12,noveltyplus,28,True,464,18,10,0.0269
n12,noveltyplus,29,True,443,24,10,0.0259
n12,noveltyplus,30,True,810,15,10,0.041
n12,noveltyplus,31,True,550,17,10,0.0311
n12,noveltyplus,32,True,708,15,10,0.0363
n12,noveltyplus,33,True,317,14,10,0.0212
n12,noveltyplus,34,True,398,17,10,0.0244
n12,noveltyplus,35,True,432,20,10,0.0251
n12,noveltyplus,36,True,302,23,10,0.0206
n12,noveltyplus,37,True,557,19,10,0.0311
n12,noveltyplus,38,True,716,26,10,0.0368
n12,noveltyplus,39,True,606,21,10,0.0323
n12,noveltyplus,40,True,505,19,10,0.0286
n12,noveltyplus,41,True,503,22,10,0.0283
n12,noveltyplus,42,True,513,19,10,0.029
n12,noveltyplus,43,True,340,19,10,0.0215
n12,noveltyplus,44,True,578,24,10,0.0317
n12,noveltyplus,45,True,301,15,10,0.0201
n12,noveltyplus,46,True,1291,13,10,0.0598
n12,noveltyplus,47,True,848,25,10,0.0423
n12,noveltyplus,48,True,640,28,10,0.0338
n12,noveltyplus,49,True,454,21,10,0.0261
n12,noveltyplus,50,True,556,22,10,0.0305
n12,noveltyplus,51,True,651,21,10,0.0344
n12,noveltyplus,52,True,402,21,10,0.0242
n12,noveltyplus,53,True,458,26,10,0.0265
n12,noveltyplus,54,True,326,15,10,0.0211
n12,noveltyplus,55,True,320,15,10,0.0213
n12,noveltyplus,56,True,695,26,10,0.0363
n12,noveltyplus,57,True,553,18,10,0.0306
n12,noveltyplus,58,True,349,17,10,0.0224
n12,noveltyplus,59,True,324,21,10,0.0217
n12,noveltyplus,60,True,848,22,10,0.0432
n12,noveltyplus,61,True,387,20,10,0.0266
n12,noveltyplus,62,True,613,14,10,0.0328
n12,noveltyplus,63,True,519,19,10,0.0287
n12,noveltyplus,64,True,343,19,10,0.0221
n12,noveltyplus,65,True,384,16,10,0.0251
n12,noveltyplus,66,True,551,20,10,0.0301
n12,noveltyplus,67,True,502,23,10,0.028
n12,noveltyplus,68,True,546,27,10,0.0302
n12,noveltyplus,69,True,476,18,10,0.0328
n12,noveltyplus,70,True,563,20,10,0.0318
n12,noveltyplus,71,True,249,18,10,0.0177
n12,noveltyplus,72,True,598,25,10,0.0325
n12,noveltyplus,73,True,443,17,10,0.0261
n12,noveltyplus,74,True,441,19,10,0.0259
n12,noveltyplus,75,True,371,18,10,0.0232
n12,noveltyplus,76,True,707,13,10,0.0363
n12,noveltyplus,77,True,319,18,10,0.0214
n12,noveltyplus,78,True,292,14,10,0.02
n12,noveltyplus,79,True,655,17,10,0.0346
n12,noveltyplus,80,True,566,30,10,0.0305
n12,noveltyplus,81,True,299,18,10,0.02
n12,noveltyplus,82,True,338,19,10,0.0215
n12,noveltyplus,83,True,614,21,10,0.0324
n12,noveltyplus,84,True,700,31,10,0.0362
n12,noveltyplus,85,True,407,22,10,0.0247
n12,noveltyplus,86,True,289,21,10,0.0195
n12,noveltyplus,87,True,678,28,10,0.0352
