scale,policy,instance_idx,solved,cumulative_flips,best_flips,n_tries,time_s
n7,minbreak,0,True,383,8,10,0.0085
n7,minbreak,1,True,334,11,10,0.0074
n7,minbreak,2,True,356,5,10,0.0076
n7,minbreak,3,True,213,9,10,0.0057
n7,minbreak,4,True,855,15,10,0.0136
n7,minbreak,5,True,266,10,10,0.0064
n7,minbreak,6,True,984,22,10,0.015
n7,minbreak,7,True,352,16,10,0.0074
n7,minbreak,8,True,289,8,10,0.0066
n7,minbreak,9,True,585,17,10,0.0102
n7,minbreak,10,True,256,8,10,0.0063
n7,minbreak,11,True,592,13,10,0.0104
n7,minbreak,12,True,480,14,10,0.0089
n7,minbreak,13,True,211,10,10,0.0058
n7,minbreak,14,True,871,12,10,0.0137
n7,minbreak,15,True,316,12,10,0.0068
n7,minbreak,16,True,238,14,10,0.0061
n7,minbreak,17,True,241,9,10,0.0062
n7,minbreak,18,True,468,13,10,0.0087
n7,minbreak,19,True,232,13,10,0.0059
n7,minbreak,20,True,275,15,10,0.0076
n7,minbreak,21,True,2557,16,10,0.0339
n7,minbreak,22,True,724,14,10,0.0117
n7,minbreak,23,True,413,12,10,0.0082
n7,minbreak,24,True,549,10,10,0.0099
n7,minbreak,25,True,605,14,10,0.0106
n7,minbreak,26,True,420,16,10,0.0083
n7,minbreak,27,True,2176,18,10,0.0293
n7,minbreak,28,True,373,14,10,0.0077
n7,minbreak,29,True,227,13,10,0.006
n7,minbreak,30,True,441,21,10,0.0086
n7,minbreak,31,True,642,13,10,0.0108
n7,minbreak,32,True,387,11,10,0.0078
n7,minbreak,33,True,469,14,10,0.0086
n7,minbreak,34,True,232,10,10,0.006
n7,minbreak,35,True,264,11,10,0.0065
n7,minbreak,36,True,966,15,10,0.0147
n7,minbreak,37,True,256,15,10,0.0064
n7,minbreak,38,True,274,9,10,0.0065
n7,minbreak,39,True,2382,23,10,0.0325
n7,minbreak,40,True,415,13,10,0.008
n7,minbreak,41,True,388,11,10,0.0079
n7,minbreak,42,True,234,10,10,0.006
n7,minbreak,43,True,276,10,10,0.0065
n7,minbreak,44,True,862,15,10,0.0136
n7,minbreak,45,True,495,19,10,0.0092
n7,minbreak,46,True,253,5,10,0.0062
n7,minbreak,47,True,325,12,10,0.0071
n7,minbreak,48,True,598,18,10,0.011
n7,minbreak,49,True,990,15,10,0.0154
n7,minbreak,50,True,617,20,10,0.0106
n7,minbreak,51,True,490,14,10,0.009
n7,minbreak,52,True,684,11,10,0.0111
n7,minbreak,53,True,489,14,10,0.0089
n7,minbreak,54,True,779,7,10,0.0125
n7,minbreak,55,True,423,18,10,0.0083
n7,minbreak,56,True,403,19,10,0.0081
n7,minbreak,57,True,242,12,10,0.0063
n7,minbreak,58,True,634,11,10,0.0108
n7,minbreak,59,True,1126,25,10,0.0172
n7,minbreak,60,True,638,11,10,0.0108
n7,minbreak,61,True,670,13,10,0.011
n7,minbreak,62,True,365,17,10,0.0077
n7,minbreak,63,True,466,11,10,0.0089
n7,minbreak,64,True,513,9,10,0.0096
n7,minbreak,65,True,195,9,10,0.0056
n7,minbreak,66,True,271,8,10,0.0064
n7,minbreak,67,True,949,15,10,0.0144
n7,minbreak,68,True,793,21,10,0.0128
n7,minbreak,69,True,385,5,10,0.0079
n7,minbreak,70,True,188,12,10,0.0055
n7,minbreak,71,True,194,8,10,0.0055
n7,minbreak,72,True,227,8,10,0.006
n7,minbreak,73,True,572,14,10,0.0101
n7,minbreak,74,True,206,8,10,0.0057
n7,minbreak,75,True,715,10,10,0.0116
n7,minbreak,76,True,719,15,10,0.012
n7,minbreak,77,True,872,22,10,0.0134
n7,minbreak,78,True,447,11,10,0.0085
n7,minbreak,79,True,226,9,10,0.006
n7,minbreak,80,True,1047,20,10,0.0158
n7,minbreak,81,True,1194,26,10,0.0174
n7,minbreak,82,True,431,15,10,0.0085
n7,minbreak,83,True,203,10,10,0.0057
n7,minbreak,84,True,619,20,10,0.011
n7,minbreak,85,True,728,17,10,0.0121
n7,minbreak,86,True,157,10,10,0.0051
n7,minbreak,87,True,203,11,10,0.0056
n7,minbreak,88,True,570,8,10,0.0102
n7,minbreak,89,True,1440,17,10,0.021
n7,minbreak,90,True,343,13,10,0.0075
n7,minbreak,91,True,1759,13,10,0.0243
n7,minbreak,92,True,256,10,10,0.0063
n7,minbreak,93,True,1315,27,10,0.0193
n7,minbreak,94,True,270,7,10,0.0065
n7,minbreak,95,True,324,15,10,0.0071
n7,minbreak,96,True,247,13,10,0.0062
n7,minbreak,97,True,336,10,10,0.0073
n7,minbreak,98,True,234,9,10,0.0061
n7,minbreak,99,True,233,12,10,0.0061
n7,noveltyplus,0,True,230,10,10,0.0065
n7,noveltyplus,1,True,247,15,10,0.0064
n7,noveltyplus,2,True,323,15,10,0.0074
n7,noveltyplus,3,True,213,10,10,0.006
n7,noveltyplus,4,True,395,22,10,0.0083
n7,noveltyplus,5,True,199,12,10,0.0058
n7,noveltyplus,6,True,299,14,10,0.007
n7,noveltyplus,7,True,279,9,10,0.0067
n7,noveltyplus,8,True,243,12,10,0.0062
n7,noveltyplus,9,True,323,21,10,0.0072
