scale,policy,instance_idx,solved,cumulative_flips,best_flips,n_tries,time_s
n12,minbreak,0,True,7340,16,10,0.3094
n12,minbreak,1,True,496,18,10,0.0285
n12,minbreak,2,True,526,19,10,0.0301
n12,minbreak,3,True,846,23,10,0.0421
n12,minbreak,4,True,2750,23,10,0.1181
n12,minbreak,5,True,2887,16,10,0.1248
n12,minbreak,6,True,5005,23,10,0.2092
n12,minbreak,7,True,6278,25,10,0.264
n12,minbreak,8,True,2860,17,10,0.1248
n12,minbreak,9,True,431,34,10,0.026
n12,minbreak,10,True,6176,24,10,0.2548
n12,minbreak,11,True,525,28,10,0.0307
n12,minbreak,12,True,1254,23,10,0.0582
n12,minbreak,13,True,709,15,10,0.0367
n12,minbreak,14,True,641,19,10,0.034
n12,minbreak,15,True,613,18,10,0.0331
n12,minbreak,16,True,5032,21,10,0.2074
n12,minbreak,17,True,430,15,10,0.0287
n12,minbreak,18,True,8501,23,10,0.3522
n12,minbreak,19,True,981,14,10,0.0481
n12,minbreak,20,True,6175,19,10,0.2572
n12,minbreak,21,True,422,19,10,0.0249
n12,minbreak,22,True,6330,24,10,0.2664
n12,minbreak,23,True,806,21,10,0.0411
n12,minbreak,24,True,1688,16,10,0.0764
n12,minbreak,25,True,509,21,10,0.0284
n12,minbreak,26,True,5003,20,10,0.2105
n12,minbreak,27,True,1133,26,10,0.0544
n12,minbreak,28,True,383,19,10,0.024
n12,minbreak,29,True,2154,16,10,0.0939
n12,minbreak,30,True,6186,17,10,0.2597
n12,minbreak,31,True,2884,30,10,0.1261
n12,minbreak,32,True,1374,22,10,0.0671
n12,minbreak,33,True,547,17,10,0.0307
n12,minbreak,34,True,725,23,10,0.039
n12,minbreak,35,True,3407,16,10,0.1439
n12,minbreak,36,True,503,18,10,0.0288
n12,minbreak,37,True,1518,21,10,0.0707
n12,minbreak,38,True,1270,17,10,0.0591
n12,minbreak,39,True,2085,23,10,0.0905
n12,minbreak,40,True,7390,22,10,0.3006
n12,minbreak,41,True,9655,20,10,0.3959
n12,minbreak,42,True,434,28,10,0.0263
n12,minbreak,43,True,659,22,10,0.0347
n12,minbreak,44,True,1554,14,10,0.0709
n12,minbreak,45,True,440,14,10,0.0258
n12,minbreak,46,True,6144,16,10,0.253
n12,minbreak,47,True,3036,24,10,0.1306
n12,minbreak,48,True,1323,19,10,0.0614
n12,minbreak,49,True,1700,19,10,0.0762
n12,minbreak,50,True,1030,32,10,0.0491
n12,minbreak,51,True,7363,20,10,0.3058
n12,minbreak,52,True,561,17,10,0.0309
n12,minbreak,53,True,749,21,10,0.0385
n12,minbreak,54,True,2683,18,10,0.1169
n12,minbreak,55,True,5005,18,10,0.209
n12,minbreak,56,True,7328,17,10,0.3046
n12,minbreak,57,True,4279,24,10,0.1819
n12,minbreak,58,True,1749,24,10,0.0779
n12,minbreak,59,True,412,17,10,0.0257
n12,minbreak,60,True,3062,23,10,0.1331
n12,minbreak,61,True,477,14,10,0.0276
n12,minbreak,62,True,1320,28,10,0.0624
n12,minbreak,63,True,680,17,10,0.035
n12,minbreak,64,True,3607,15,10,0.1525
n12,minbreak,65,True,1583,21,10,0.072
n12,minbreak,66,True,5269,33,10,0.2185
n12,minbreak,67,True,1753,22,10,0.0781
n12,minbreak,68,True,972,22,10,0.048
n12,minbreak,69,True,6300,17,10,0.264
n12,minbreak,70,True,1346,16,10,0.0615
n12,minbreak,71,True,402,16,10,0.024
n12,minbreak,72,True,3973,20,10,0.1676
n12,minbreak,73,True,4012,19,10,0.1717
n12,minbreak,74,True,7357,25,10,0.3023
n12,minbreak,75,True,657,11,10,0.0353
n12,minbreak,76,True,5012,16,10,0.2074
n12,minbreak,77,True,3948,22,10,0.1669
n12,minbreak,78,True,5080,22,10,0.2138
n12,minbreak,79,True,2836,16,10,0.1317
n12,minbreak,80,True,2448,17,10,0.1125
n12,minbreak,81,True,643,16,10,0.0345
n12,minbreak,82,True,637,20,10,0.0336
n12,minbreak,83,True,2687,21,10,0.1179
n12,minbreak,84,True,3965,13,10,0.17
n12,minbreak,85,True,420,14,10,0.0247
n12,minbreak,86,True,3850,21,10,0.1632
n12,minbreak,87,True,2653,17,10,0.1163
n12,minbreak,88,True,911,33,10,0.0452
n12,minbreak,89,True,668,26,10,0.035
n12,minbreak,90,True,683,27,10,0.0359
n12,minbreak,91,True,434,20,10,0.0263
n12,minbreak,92,True,6537,24,10,0.2785
n12,minbreak,93,True,1529,12,10,0.0703
n12,minbreak,94,True,2923,21,10,0.1263
n12,minbreak,95,True,614,17,10,0.0319
n12,minbreak,96,True,1384,24,10,0.0633
n12,minbreak,97,True,4128,14,10,0.1758
n12,minbreak,98,True,4954,15,10,0.2085
n12,minbreak,99,True,6170,20,10,0.2588
n12,noveltyplus,0,True,1041,21,10,0.051
n12,noveltyplus,1,True,577,24,10,0.0317
n12,noveltyplus,2,True,297,13,10,0.0212
n12,noveltyplus,3,True,302,23,10,0.0206
n12,noveltyplus,4,True,662,14,10,0.0346
n12,noveltyplus,5,True,800,18,10,0.0404
n12,noveltyplus,6,True,904,18,10,0.0448
n12,noveltyplus,7,True,626,21,10,0.0335
n12,noveltyplus,8,True,491,20,10,0.0283
n12,noveltyplus,9,True,375,21,10,0.0235
n12,noveltyplus,10,True,428,17,10,0.0254
n12,noveltyplus,11,True,314,19,10,0.0213
n12,noveltyplus,12,True,387,15,10,0.0236
n12,noveltyplus,13,True,582,22,10,0.0322
n12,noveltyplus,14,True,392,16,10,0.0239
n12,noveltyplus,15,True,500,25,10,0.0289
n12,noveltyplus,16,True,459,19,10,0.0274
n12,noveltyplus,17,True,258,17,10,0.019
n12,noveltyplus,18,True,437,16,10,0.026
n12,noveltyplus,19,True,265,15,10,0.0204
n12,noveltyplus,20,True,883,25,10,0.0439
n12,noveltyplus,21,True,306,14,10,0.0206
n12,noveltyplus,22,True,396,18,10,0.0247
n12,noveltyplus,23,True,416,18,10,0.0254
n12,noveltyplus,24,True,542,25,10,0.0296
n12,noveltyplus,25,True,400,25,10,0.0237
n12,noveltyplus,26,True,340,13,10,0.0227
n12,noveltyplus,27,True,529,23,10,0.029
n12,noveltyplus,28,True,434,18,10,0.0253
n12,noveltyplus,29,True,357,15,10,0.0227
n12,noveltyplus,30,True,544,17,10,0.0311
n12,noveltyplus,31,True,634,15,10,0.0338
n12,noveltyplus,32,True,400,19,10,0.0245
n12,noveltyplus,33,True,413,20,10,0.025
n12,noveltyplus,34,True,466,16,10,0.0279
n12,noveltyplus,35,True,656,24,10,0.0352
n12,noveltyplus,36,True,408,16,10,0.025
n12,noveltyplus,37,True,389,13,10,0.0246
n12,noveltyplus,38,True,808,20,10,0.0405
n12,noveltyplus,39,True,1218,27,10,0.0577
n12,noveltyplus,40,True,479,17,10,0.0274
n12,noveltyplus,41,True,849,23,10,0.0438
n12,noveltyplus,42,True,617,18,10,0.0335
n12,noveltyplus,43,True,518,21,10,0.0286
n12,noveltyplus,44,True,702,16,10,0.0373
n12,noveltyplus,45,True,281,15,10,0.0196
n12,noveltyplus,46,True,1423,15,10,0.0662
n12,noveltyplus,47,True,524,16,10,0.0294
n12,noveltyplus,48,True,626,24,10,0.0337
n12,noveltyplus,49,True,566,21,10,0.0306
n12,noveltyplus,50,True,516,25,10,0.0289
n12,noveltyplus,51,True,329,19,10,0.0228
n12,noveltyplus,52,True,392,19,10,0.0239
n12,noveltyplus,53,True,366,15,10,0.0228
n12,noveltyplus,54,True,388,20,10,0.0234
n12,noveltyplus,55,True,468,19,10,0.0276
n12,noveltyplus,56,True,833,25,10,0.0411
n12,noveltyplus,57,True,687,19,10,0.0357
n12,noveltyplus,58,True,423,21,10,0.0259
n12,noveltyplus,59,True,404,21,10,0.0246
n12,noveltyplus,60,True,436,17,10,0.0266
n12,noveltyplus,61,True,359,20,10,0.0226
n12,noveltyplus,62,True,537,20,10,0.0298
n12,noveltyplus,63,True,649,25,10,0.0338
n12,noveltyplus,64,True,249,15,10,0.0182
n12,noveltyplus,65,True,744,16,10,0.0384
n12,noveltyplus,66,True,751,19,10,0.0384
n12,noveltyplus,67,True,480,22,10,0.0271
