scale,policy,instance_idx,solved,cumulative_flips,best_flips,n_tries,time_s
n9,minbreak,0,True,708,14,10,0.015
n9,minbreak,1,True,1953,7,10,0.0321
n9,minbreak,2,True,1616,73,10,0.0267
n9,minbreak,3,True,933,26,10,0.0181
n9,minbreak,4,True,640,14,10,0.014
n9,minbreak,5,True,625,22,10,0.0137
n9,minbreak,6,True,328,14,10,0.0098
n9,minbreak,7,True,1013,35,10,0.0192
n9,minbreak,8,True,982,21,10,0.0187
n9,minbreak,9,True,778,17,10,0.0157
n9,minbreak,10,True,1078,15,10,0.0199
n9,minbreak,11,True,1613,15,10,0.0274
n9,minbreak,12,True,2485,22,10,0.0391
n9,minbreak,13,True,787,17,10,0.0161
n9,minbreak,14,True,5598,28,10,0.0797
n9,minbreak,15,True,525,17,10,0.0122
n9,minbreak,16,True,798,14,10,0.016
n9,minbreak,17,True,853,28,10,0.0167
n9,minbreak,18,True,2057,36,10,0.0342
n9,minbreak,19,True,455,15,10,0.0112
n9,minbreak,20,True,702,26,10,0.0147
n9,minbreak,21,True,703,19,10,0.0147
n9,minbreak,22,True,492,25,10,0.0117
n9,minbreak,23,True,484,24,10,0.0118
n9,minbreak,24,True,922,49,10,0.0174
n9,minbreak,25,True,549,14,10,0.0126
n9,minbreak,26,True,249,13,10,0.0084
n9,minbreak,27,True,577,19,10,0.0127
n9,minbreak,28,True,576,18,10,0.0129
n9,minbreak,29,True,1066,11,10,0.0203
n9,minbreak,30,True,1641,19,10,0.0281
n9,minbreak,31,True,1565,19,10,0.0271
n9,minbreak,32,True,290,10,10,0.009
n9,minbreak,33,True,2412,26,10,0.0386
n9,minbreak,34,True,541,16,10,0.0125
n9,minbreak,35,True,472,24,10,0.0114
n9,minbreak,36,True,1120,23,10,0.0206
n9,minbreak,37,True,449,12,10,0.0112
n9,minbreak,38,True,3641,46,10,0.0562
n9,minbreak,39,True,542,26,10,0.0125
n9,minbreak,40,True,902,21,10,0.0173
n9,minbreak,41,True,581,24,10,0.0127
n9,minbreak,42,True,555,18,10,0.0129
n9,minbreak,43,True,1570,24,10,0.0299
n9,minbreak,44,True,810,19,10,0.0161
n9,minbreak,45,True,519,15,10,0.0121
n9,minbreak,46,True,358,23,10,0.0101
n9,minbreak,47,True,751,19,10,0.0155
n9,minbreak,48,True,2659,17,10,0.0414
n9,minbreak,49,True,689,16,10,0.0143
n9,minbreak,50,True,563,20,10,0.0127
n9,minbreak,51,True,480,10,10,0.0117
n9,minbreak,52,True,257,17,10,0.0085
n9,minbreak,53,True,329,15,10,0.0093
n9,minbreak,54,True,1287,30,10,0.0233
n9,minbreak,55,True,1673,24,10,0.028
n9,minbreak,56,True,959,23,10,0.0182
n9,minbreak,57,True,456,16,10,0.0113
n9,minbreak,58,True,1020,28,10,0.0189
n9,minbreak,59,True,1021,26,10,0.0189
n9,minbreak,60,True,609,11,10,0.0133
n9,minbreak,61,True,372,24,10,0.0102
n9,minbreak,62,True,1213,29,10,0.0214
n9,minbreak,63,True,609,22,10,0.0135
n9,minbreak,64,True,1548,20,10,0.0278
n9,minbreak,65,True,1544,36,10,0.0266
n9,minbreak,66,True,492,30,10,0.0115
n9,minbreak,67,True,906,11,10,0.0175
n9,minbreak,68,True,864,32,10,0.0168
n9,minbreak,69,True,1472,21,10,0.0255
n9,minbreak,70,True,1265,17,10,0.0222
n9,minbreak,71,True,501,17,10,0.0117
n9,minbreak,72,True,345,15,10,0.0096
n9,minbreak,73,True,1492,45,10,0.025
n9,minbreak,74,True,925,13,10,0.0179
n9,minbreak,75,True,1362,18,10,0.0239
n9,minbreak,76,True,981,17,10,0.0188
n9,minbreak,77,True,1645,36,10,0.0279
n9,minbreak,78,True,1039,24,10,0.0192
n9,minbreak,79,True,475,17,10,0.0116
n9,minbreak,80,True,470,23,10,0.0114
n9,minbreak,81,True,2424,19,10,0.0389
n9,minbreak,82,True,471,16,10,0.0115
n9,minbreak,83,True,1047,26,10,0.0192
n9,minbreak,84,True,1360,29,10,0.0245
n9,minbreak,85,True,303,13,10,0.0092
n9,minbreak,86,True,379,18,10,0.0107
n9,minbreak,87,True,966,30,10,0.0179
n9,minbreak,88,True,566,27,10,0.0125
n9,minbreak,89,True,479,17,10,0.0115
n9,minbreak,90,True,611,14,10,0.0133
n9,minbreak,91,True,1132,19,10,0.0205
n9,minbreak,92,True,884,16,10,0.0174
n9,minbreak,93,True,383,18,10,0.0105
n9,minbreak,94,True,5392,86,10,0.0804
n9,minbreak,95,True,1528,22,10,0.0256
n9,minbreak,96,True,715,13,10,0.0147
n9,minbreak,97,True,1054,28,10,0.0199
n9,minbreak,98,True,725,21,10,0.0151
n9,minbreak,99,True,679,21,10,0.0145
n9,noveltyplus,0,True,409,23,10,0.011
n9,noveltyplus,1,True,963,23,10,0.019
n9,noveltyplus,2,True,420,26,10,0.0111
n9,noveltyplus,3,True,406,20,10,0.0109
n9,noveltyplus,4,True,359,18,10,0.0103
n9,noveltyplus,5,True,566,30,10,0.0133
n9,noveltyplus,6,True,254,15,10,0.0088
n9,noveltyplus,7,True,507,22,10,0.0123
n9,noveltyplus,8,True,513,20,10,0.0128
