scale,policy,train_scale,model_label,n_instances,n_solved,solve_rate,median_cumulative_flips,mean_cumulative_flips,median_best_flips_solved,mean_best_flips_solved,par10,median_time_s,mean_time_s,total_time_s
n5,minbreak,n7,run7,100,100,100.0,238.0,336.2,7.0,8.0,336.2,0.0043,0.0053,0.53
n5,noveltyplus,n7,run7,100,100,100.0,175.0,212.2,8.0,8.4,212.2,0.0038,0.0043,0.43
n5,interian(n7),n7,run7,100,100,100.0,150.0,171.7,7.0,7.6,171.7,0.0118,0.0134,1.34
n5,ours(run7),n7,run7,100,100,100.0,115.0,128.9,6.0,6.5,128.9,0.0109,0.0119,1.19
n5,ours_online_kl(run7),n7,run7,100,100,100.0,112.0,129.5,6.0,6.6,129.5,0.0262,0.039,3.9
n5,ours_online_success_kl(run7),n7,run7,100,100,100.0,113.0,129.2,6.0,6.3,129.2,0.0325,0.0362,3.62
n7,minbreak,n7,run7,100,100,100.0,387.0,541.8,12.0,13.2,541.8,0.0078,0.0098,0.98
n7,noveltyplus,n7,run7,100,100,100.0,269.5,301.2,13.0,13.9,301.2,0.0066,0.007,0.7
n7,interian(n7),n7,run7,100,100,100.0,248.5,261.3,13.0,13.0,261.3,0.0203,0.0212,2.12
n7,ours(run7),n7,run7,100,100,100.0,181.5,205.3,10.0,10.1,205.3,0.0179,0.0198,1.98
n7,ours_online_kl(run7),n7,run7,100,100,100.0,181.0,206.8,10.0,10.4,206.8,0.0734,0.0934,9.34
n7,ours_online_success_kl(run7),n7,run7,100,100,100.0,188.0,207.5,10.0,10.2,207.5,0.05,0.0544,5.44
n9,minbreak,n7,run7,100,100,100.0,792.5,1034.8,19.0,22.2,1034.8,0.0161,0.0193,1.93
n9,noveltyplus,n7,run7,100,100,100.0,388.0,424.3,20.0,20.0,424.3,0.0105,0.0111,1.11
n9,interian(n7),n7,run7,100,100,100.0,343.5,373.9,17.0,16.8,373.9,0.0296,0.0318,3.18
n9,ours(run7),n7,run7,100,100,100.0,283.5,320.2,15.0,14.9,320.2,0.0289,0.0318,3.18
n9,ours_online_kl(run7),n7,run7,100,100,100.0,273.5,307.0,14.0,14.4,307.0,0.1465,0.1703,17.03
n9,ours_online_success_kl(run7),n7,run7,100,100,100.0,285.0,318.0,15.0,15.0,318.0,0.0734,0.0806,8.06
n12,minbreak,n7,run7,100,100,100.0,1270.5,1753.5,36.0,39.1,1753.5,0.0387,0.048,4.8
n12,noveltyplus,n7,run7,100,100,100.0,658.0,852.2,35.5,38.0,852.2,0.0265,0.0306,3.06
n12,interian(n7),n7,run7,100,100,100.0,613.5,694.9,33.0,33.6,694.9,0.0617,0.0683,6.83
n12,ours(run7),n7,run7,100,100,100.0,524.5,723.5,28.0,28.7,723.5,0.0622,0.0819,8.19
n12,ours_online_kl(run7),n7,run7,100,100,100.0,512.5,725.0,28.0,28.4,725.0,0.3382,0.5011,50.11
n12,ours_online_success_kl(run7),n7,run7,100,100,100.0,529.5,727.1,28.0,28.6,727.1,0.1399,0.1856,18.56
