scale,policy,instance_idx,solved,cumulative_flips,best_flips,n_tries,time_s
n15,minbreak,0,True,2541,28,10,0.1579
n15,minbreak,1,True,2951,23,10,0.1734
n15,minbreak,2,True,3534,26,10,0.2086
n15,minbreak,3,True,7150,21,10,0.4101
n15,minbreak,4,True,6813,27,10,0.398
n15,minbreak,5,True,924,30,10,0.0624
n15,minbreak,6,True,3501,28,10,0.2051
n15,minbreak,7,True,9157,29,10,0.5229
n15,minbreak,8,True,3947,21,10,0.2334
n15,minbreak,9,True,8663,82,10,0.4898
n15,minbreak,10,True,7739,30,10,0.4468
n15,minbreak,11,True,9137,28,10,0.5278
n15,minbreak,12,True,4846,21,10,0.2786
n15,minbreak,13,True,9171,20,10,0.5261
n15,minbreak,14,True,9164,25,10,0.5303
n15,minbreak,15,True,6424,12,10,0.3707
n15,minbreak,16,True,10612,31,10,0.6042
n15,minbreak,17,True,427,25,10,0.0354
n15,minbreak,18,True,5807,29,10,0.3395
n15,minbreak,19,True,1894,26,10,0.1181
n15,minbreak,20,True,1779,21,10,0.1086
n15,minbreak,21,True,659,26,10,0.0477
n15,minbreak,22,True,7677,22,10,0.4482
n15,minbreak,23,True,920,23,10,0.0626
n15,minbreak,24,True,760,25,10,0.0538
n15,minbreak,25,True,7688,26,10,0.4389
n15,minbreak,26,True,5029,23,10,0.2966
n15,minbreak,27,True,3312,28,10,0.1976
n15,minbreak,28,True,632,25,10,0.0466
n15,minbreak,29,True,7703,32,10,0.4417
n15,minbreak,30,True,5689,31,10,0.3333
n15,minbreak,31,True,6261,28,10,0.3631
n15,minbreak,32,True,12063,22,10,0.6861
n15,minbreak,33,True,1307,22,10,0.0851
n15,minbreak,34,True,1088,22,10,0.0727
n15,minbreak,35,True,2323,23,10,0.1381
n15,minbreak,36,True,732,27,10,0.0523
n15,minbreak,37,True,4843,35,10,0.2852
n15,minbreak,38,True,7700,21,10,0.4514
n15,minbreak,39,True,4784,28,10,0.2803
n15,minbreak,40,True,8122,33,10,0.4728
n15,minbreak,41,True,10697,25,10,0.6111
n15,minbreak,42,True,1957,40,10,0.1242
n15,minbreak,43,True,2527,19,10,0.1499
n15,minbreak,44,True,2150,40,10,0.1306
n15,minbreak,45,True,3892,19,10,0.2297
n15,minbreak,46,True,3856,37,10,0.2321
n15,minbreak,47,True,4765,27,10,0.2831
n15,minbreak,48,True,5233,34,10,0.3027
n15,minbreak,49,True,5116,31,10,0.2961
n15,minbreak,50,True,973,24,10,0.067
n15,minbreak,51,True,502,22,10,0.0389
n15,minbreak,52,True,858,24,10,0.059
n15,minbreak,53,True,1165,23,10,0.0758
n15,minbreak,54,True,434,22,10,0.0357
n15,minbreak,55,True,7997,30,10,0.4605
n15,minbreak,56,True,7986,25,10,0.4512
n15,minbreak,57,True,5098,36,10,0.3007
n15,minbreak,58,True,1924,30,10,0.1181
n15,minbreak,59,True,7737,27,10,0.4482
n15,minbreak,60,True,4889,27,10,0.2865
n15,minbreak,61,True,612,25,10,0.0457
n15,minbreak,62,True,628,25,10,0.0471
n15,minbreak,63,True,825,25,10,0.0577
n15,minbreak,64,True,5016,36,10,0.2908
n15,minbreak,65,True,1110,24,10,0.0732
n15,minbreak,66,True,9158,19,10,0.5281
n15,minbreak,67,True,7693,22,10,0.437
n15,minbreak,68,True,12080,23,10,0.6876
n15,minbreak,69,True,1101,27,10,0.073
n15,minbreak,70,True,598,21,10,0.0448
n15,minbreak,71,True,790,25,10,0.0552
n15,minbreak,72,True,1247,25,10,0.0799
n15,minbreak,73,True,638,17,10,0.047
n15,minbreak,74,True,2772,24,10,0.1702
n15,minbreak,75,True,4842,24,10,0.2804
n15,minbreak,76,True,995,24,10,0.0678
n15,minbreak,77,True,7697,27,10,0.4426
n15,minbreak,78,True,5055,33,10,0.2998
n15,minbreak,79,True,3438,27,10,0.2051
n15,minbreak,80,True,9208,29,10,0.5286
n15,minbreak,81,True,1929,23,10,0.118
n15,minbreak,82,True,10673,31,10,0.6051
n15,minbreak,83,True,484,21,10,0.0376
n15,minbreak,84,True,9170,30,10,0.5304
n15,minbreak,85,True,4656,54,10,0.2685
n15,minbreak,86,True,3890,20,10,0.2304
n15,minbreak,87,True,10607,25,10,0.6036
n15,minbreak,88,True,877,25,10,0.0598
n15,minbreak,89,True,10598,23,10,0.6094
n15,minbreak,90,True,4285,31,10,0.2515
n15,minbreak,91,True,4827,27,10,0.2875
n15,minbreak,92,True,949,27,10,0.0644
n15,minbreak,93,True,1380,18,10,0.0894
n15,minbreak,94,True,8560,29,10,0.4917
n15,minbreak,95,True,450,30,10,0.0366
n15,minbreak,96,True,9157,26,10,0.5223
n15,minbreak,97,True,1447,37,10,0.0927
n15,minbreak,98,True,762,26,10,0.0537
n15,minbreak,99,True,6285,23,10,0.3632
n15,noveltyplus,0,True,1031,25,10,0.0677
n15,noveltyplus,1,True,583,24,10,0.0432
n15,noveltyplus,2,True,913,25,10,0.0623
n15,noveltyplus,3,True,1554,32,10,0.0973
n15,noveltyplus,4,True,1278,25,10,0.0817
n15,noveltyplus,5,True,722,20,10,0.0509
n15,noveltyplus,6,True,791,22,10,0.0553
n15,noveltyplus,7,True,1155,24,10,0.075
n15,noveltyplus,8,True,644,26,10,0.0474
n15,noveltyplus,9,True,1235,30,10,0.0794
n15,noveltyplus,10,True,869,19,10,0.0585
n15,noveltyplus,11,True,934,24,10,0.0637
n15,noveltyplus,12,True,512,23,10,0.0403
n15,noveltyplus,13,True,978,22,10,0.0656
n15,noveltyplus,14,True,800,25,10,0.0562
n15,noveltyplus,15,True,489,19,10,0.0383
n15,noveltyplus,16,True,685,26,10,0.0497
n15,noveltyplus,17,True,405,27,10,0.0341
n15,noveltyplus,18,True,648,34,10,0.0472
n15,noveltyplus,19,True,600,30,10,0.0443
n15,noveltyplus,20,True,619,19,10,0.0453
n15,noveltyplus,21,True,453,26,10,0.0358
n15,noveltyplus,22,True,654,24,10,0.0472
n15,noveltyplus,23,True,396,22,10,0.0334
n15,noveltyplus,24,True,594,27,10,0.0435
n15,noveltyplus,25,True,397,21,10,0.0331
n15,noveltyplus,26,True,860,24,10,0.0575
n15,noveltyplus,27,True,561,25,10,0.042
n15,noveltyplus,28,True,378,20,10,0.0318
n15,noveltyplus,29,True,1180,25,10,0.0775
n15,noveltyplus,30,True,845,23,10,0.0577
n15,noveltyplus,31,True,518,17,10,0.04
n15,noveltyplus,32,True,587,20,10,0.0433
n15,noveltyplus,33,True,796,24,10,0.0553
n15,noveltyplus,34,True,625,26,10,0.0459
n15,noveltyplus,35,True,1405,24,10,0.0882
n15,noveltyplus,36,True,565,28,10,0.042
n15,noveltyplus,37,True,512,25,10,0.0395
n15,noveltyplus,38,True,579,25,10,0.0438
n15,noveltyplus,39,True,955,21,10,0.0647
n15,noveltyplus,40,True,1034,26,10,0.0671
n15,noveltyplus,41,True,1100,19,10,0.0717
n15,noveltyplus,42,True,919,19,10,0.0626
n15,noveltyplus,43,True,556,23,10,0.0417
n15,noveltyplus,44,True,763,25,10,0.054
n15,noveltyplus,45,True,753,30,10,0.0536
n15,noveltyplus,46,True,731,27,10,0.0503
n15,noveltyplus,47,True,521,18,10,0.0404
n15,noveltyplus,48,True,615,24,10,0.0458
n15,noveltyplus,49,True,693,29,10,0.0495
n15,noveltyplus,50,True,694,22,10,0.0497
n15,noveltyplus,51,True,440,25,10,0.0354
n15,noveltyplus,52,True,344,20,10,0.0301
n15,noveltyplus,53,True,855,27,10,0.0569
n15,noveltyplus,54,True,376,21,10,0.0316
n15,noveltyplus,55,True,872,21,10,0.0598
n15,noveltyplus,56,True,629,26,10,0.0453
n15,noveltyplus,57,True,703,32,10,0.0499
n15,noveltyplus,58,True,325,20,10,0.0297
n15,noveltyplus,59,True,905,23,10,0.0615
n15,noveltyplus,60,True,472,22,10,0.037
n15,noveltyplus,61,True,328,21,10,0.0299
n15,noveltyplus,62,True,312,21,10,0.029
n15,noveltyplus,63,True,747,23,10,0.0517
n15,noveltyplus,64,True,724,24,10,0.0514
n15,noveltyplus,65,True,570,23,10,0.0429
n15,noveltyplus,66,True,935,17,10,0.0636
n15,noveltyplus,67,True,1284,25,10,0.082
n15,noveltyplus,68,True,1409,31,10,0.0901
n15,noveltyplus,69,True,422,24,10,0.0349
n15,noveltyplus,70,True,422,25,10,0.0343
n15,noveltyplus,71,True,359,22,10,0.0315
n15,noveltyplus,72,True,606,29,10,0.0443
n15,noveltyplus,73,True,405,26,10,0.034
n15,noveltyplus,74,True,1092,21,10,0.0718
n15,noveltyplus,75,True,691,17,10,0.0498
n15,noveltyplus,76,True,455,31,10,0.0369
n15,noveltyplus,77,True,652,24,10,0.0478
n15,noveltyplus,78,True,400,25,10,0.0336
n15,noveltyplus,79,True,523,18,10,0.0401
n15,noveltyplus,80,True,1332,34,10,0.0854
n15,noveltyplus,81,True,733,27,10,0.0515
n15,noveltyplus,82,True,634,21,10,0.0461
n15,noveltyplus,83,True,397,28,10,0.0332
n15,noveltyplus,84,True,599,19,10,0.0452
n15,noveltyplus,85,True,930,26,10,0.0621
n15,noveltyplus,86,True,1080,22,10,0.0708
n15,noveltyplus,87,True,1615,21,10,0.1006
n15,noveltyplus,88,True,646,25,10,0.046
n15,noveltyplus,89,True,801,16,10,0.055
n15,noveltyplus,90,True,913,17,10,0.0642
n15,noveltyplus,91,True,570,26,10,0.0451
n15,noveltyplus,92,True,564,27,10,0.0432
n15,noveltyplus,93,True,1092,40,10,0.0725
n15,noveltyplus,94,True,1120,17,10,0.0736
n15,noveltyplus,95,True,726,35,10,0.051
n15,noveltyplus,96,True,470,21,10,0.0382
n15,noveltyplus,97,True,732,43,10,0.0525
n15,noveltyplus,98,True,688,19,10,0.0489
n15,noveltyplus,99,True,859,25,10,0.0594
n15,interian(n5),0,True,707,30,10,0.1045
n15,interian(n5),1,True,1096,21,10,0.156
n15,interian(n5),2,True,1113,23,10,0.1579
n15,interian(n5),3,True,914,23,10,0.1317
n15,interian(n5),4,True,987,25,10,0.142
n15,interian(n5),5,True,606,25,10,0.0893
n15,interian(n5),6,True,671,32,10,0.0986
n15,interian(n5),7,True,939,18,10,0.1372
n15,interian(n5),8,True,611,19,10,0.0918
n15,interian(n5),9,True,1046,18,10,0.1494
n15,interian(n5),10,True,999,28,10,0.143
n15,interian(n5),11,True,850,25,10,0.1228
n15,interian(n5),12,True,703,27,10,0.1026
n15,interian(n5),13,True,907,25,10,0.1306
n15,interian(n5),14,True,841,23,10,0.122
n15,interian(n5),15,True,990,25,10,0.1422
n15,interian(n5),16,True,624,30,10,0.092
n15,interian(n5),17,True,859,29,10,0.1249
n15,interian(n5),18,True,1030,18,10,0.1468
n15,interian(n5),19,True,844,26,10,0.1223
n15,interian(n5),20,True,1054,23,10,0.1494
n15,interian(n5),21,True,691,25,10,0.1005
n15,interian(n5),22,True,619,21,10,0.0929
n15,interian(n5),23,True,1204,28,10,0.1734
n15,interian(n5),24,True,854,23,10,0.1226
