scale,policy,train_scale,model_label,n_instances,n_solved,solve_rate,median_cumulative_flips,mean_cumulative_flips,median_best_flips_solved,mean_best_flips_solved,par10,median_time_s,mean_time_s,total_time_s
n3,minbreak,n5,run7,100,100,100.0,141.5,145.5,3.0,3.0,145.5,0.0021,0.0021,0.21
n3,noveltyplus,n5,run7,100,100,100.0,84.5,87.6,2.0,2.6,87.6,0.0016,0.0017,0.17
n3,interian(n5),n5,run7,100,100,100.0,86.0,89.1,3.0,2.9,89.1,0.0065,0.0067,0.67
n3,ours(run7),n5,run7,100,100,100.0,68.0,68.6,2.0,2.5,68.6,0.006,0.0061,0.61
n3,ours_online_kl(run7),n5,run7,100,100,100.0,68.0,68.6,2.0,2.4,68.6,0.008,0.0083,0.83
n3,ours_online_success_kl(run7),n5,run7,100,100,100.0,68.0,68.4,2.0,2.5,68.4,0.0222,0.0224,2.24
n5,minbreak,n5,run7,100,100,100.0,230.5,320.3,6.0,6.3,320.3,0.0052,0.0063,0.63
n5,noveltyplus,n5,run7,100,100,100.0,157.5,164.2,6.0,6.2,164.2,0.0042,0.0043,0.43
n5,interian(n5),n5,run7,100,100,100.0,170.5,177.7,6.5,6.6,177.7,0.0141,0.0148,1.48
n5,ours(run7),n5,run7,100,100,100.0,106.0,106.0,5.0,5.0,106.0,0.0109,0.0108,1.08
n5,ours_online_kl(run7),n5,run7,100,100,100.0,104.5,104.5,5.0,5.1,104.5,0.0222,0.0238,2.38
n5,ours_online_success_kl(run7),n5,run7,100,100,100.0,103.0,104.0,5.0,5.0,104.0,0.0316,0.0317,3.17
n10,minbreak,n5,run7,100,100,100.0,1360.0,2093.2,16.0,17.0,2093.2,0.0479,0.0713,7.13
n10,noveltyplus,n5,run7,100,100,100.0,409.0,442.8,15.0,15.5,442.8,0.019,0.02,2.0
n10,interian(n5),n5,run7,100,100,100.0,420.5,439.8,16.0,15.7,439.8,0.0474,0.049,4.9
n10,ours(run7),n5,run7,100,100,100.0,217.5,236.9,12.0,12.2,236.9,0.0292,0.0319,3.19
n10,ours_online_kl(run7),n5,run7,100,100,100.0,224.0,242.6,13.0,12.7,242.6,0.1177,0.1334,13.34
n10,ours_online_success_kl(run7),n5,run7,100,100,100.0,218.5,241.7,12.0,12.7,241.7,0.0664,0.0725,7.25
n12,minbreak,n5,run7,100,100,100.0,1590.5,2751.1,19.0,20.7,2751.1,0.0723,0.1181,11.81
n12,noveltyplus,n5,run7,100,100,100.0,472.5,519.4,19.0,19.0,519.4,0.027,0.029,2.9
n12,interian(n5),n5,run7,100,100,100.0,583.0,587.5,19.0,19.6,587.5,0.0716,0.0723,7.23
n12,ours(run7),n5,run7,100,100,100.0,279.5,313.1,15.0,15.1,313.1,0.042,0.0465,4.65
n12,ours_online_kl(run7),n5,run7,100,100,100.0,286.0,310.6,15.0,15.3,310.6,0.1734,0.1941,19.41
n12,ours_online_success_kl(run7),n5,run7,100,100,100.0,277.5,318.0,15.0,15.1,318.0,0.0859,0.0974,9.74
n15,minbreak,n5,run7,100,100,100.0,4116.0,4517.2,25.5,26.9,4517.2,0.2424,0.2648,26.48
n15,noveltyplus,n5,run7,100,100,100.0,686.5,734.4,24.0,24.2,734.4,0.0492,0.0519,5.19
n15,interian(n5),n5,run7,100,100,100.0,841.0,804.0,24.0,25.0,804.0,0.121,0.116,11.6
n15,ours(run7),n5,run7,100,100,100.0,392.5,463.8,20.0,20.0,463.8,0.068,0.0799,7.99
n15,ours_online_kl(run7),n5,run7,100,100,100.0,398.5,476.0,20.0,19.5,476.0,0.2809,0.3473,34.73
n15,ours_online_success_kl(run7),n5,run7,100,100,100.0,356.5,500.7,19.0,19.1,500.7,0.119,0.1638,16.38
