scale,policy,train_scale,model_label,n_instances,n_solved,solve_rate,median_cumulative_flips,mean_cumulative_flips,median_best_flips_solved,mean_best_flips_solved,par10,median_time_s,mean_time_s,total_time_s
n10,minbreak,n50,run7,100,100,100.0,31.0,31.6,1.0,1.0,31.6,0.0009,0.0009,0.09
n10,noveltyplus,n50,run7,100,100,100.0,31.0,31.6,1.0,1.0,31.6,0.0009,0.0009,0.09
n10,interian(n50),n50,run7,100,100,100.0,32.0,32.4,1.0,1.2,32.4,0.0026,0.0027,0.27
n10,ours(run7),n50,run7,100,100,100.0,30.5,30.6,1.0,1.0,30.6,0.0029,0.003,0.3
n10,ours_online_kl(run7),n50,run7,100,100,100.0,31.0,30.7,1.0,1.1,30.7,0.0031,0.0031,0.31
n10,ours_online_success_kl(run7),n50,run7,100,100,100.0,33.0,32.5,1.0,1.2,32.5,0.0141,0.0141,1.41
n20,minbreak,n50,run7,100,100,100.0,68.0,67.3,3.0,3.4,67.3,0.0018,0.0018,0.18
n20,noveltyplus,n50,run7,100,100,100.0,69.0,69.6,4.0,3.7,69.6,0.0019,0.0019,0.19
n20,interian(n50),n50,run7,100,100,100.0,66.0,67.5,4.0,3.6,67.5,0.0056,0.0056,0.56
n20,ours(run7),n50,run7,100,100,100.0,62.5,62.2,3.0,3.2,62.2,0.0059,0.0059,0.59
n20,ours_online_kl(run7),n50,run7,100,100,100.0,64.0,63.1,3.0,3.3,63.1,0.0062,0.0064,0.64
n20,ours_online_success_kl(run7),n50,run7,100,100,100.0,62.0,62.3,3.0,3.3,62.3,0.021,0.0211,2.11
n30,minbreak,n50,run7,100,100,100.0,107.5,108.4,7.0,6.7,108.4,0.003,0.0031,0.31
n30,noveltyplus,n50,run7,100,100,100.0,111.0,110.6,7.0,6.6,110.6,0.0032,0.0032,0.32
n30,interian(n50),n50,run7,100,100,100.0,108.0,107.7,7.0,6.5,107.7,0.009,0.0089,0.89
n30,ours(run7),n50,run7,100,100,100.0,96.0,95.8,6.0,6.1,95.8,0.0093,0.0093,0.93
n30,ours_online_kl(run7),n50,run7,100,100,100.0,97.0,97.6,6.0,6.1,97.6,0.0161,0.0163,1.63
n30,ours_online_success_kl(run7),n50,run7,100,100,100.0,94.5,95.6,6.0,6.1,95.6,0.0287,0.0291,2.91
n50,minbreak,n50,run7,100,100,100.0,214.0,230.8,14.0,14.8,230.8,0.0065,0.0068,0.68
n50,noveltyplus,n50,run7,100,100,100.0,214.5,220.6,15.0,15.0,220.6,0.0066,0.0067,0.67
n50,interian(n50),n50,run7,100,100,100.0,212.0,215.5,15.0,14.9,215.5,0.0181,0.0186,1.86
n50,ours(run7),n50,run7,100,100,100.0,175.0,180.3,13.0,12.9,180.3,0.0176,0.0181,1.81
n50,ours_online_kl(run7),n50,run7,100,100,100.0,178.0,182.9,13.0,12.8,182.9,0.072,0.076,7.6
n50,ours_online_success_kl(run7),n50,run7,100,100,100.0,178.0,182.8,13.0,12.7,182.8,0.0488,0.0498,4.98
n75,minbreak,n50,run7,100,100,100.0,704.0,5943.6,33.0,34.9,5943.6,0.017,0.0955,9.55
n75,noveltyplus,n50,run7,100,100,100.0,493.5,621.2,32.0,32.9,621.2,0.0143,0.0164,1.64
n75,interian(n50),n50,run7,100,100,100.0,454.0,534.7,31.0,32.4,534.7,0.0392,0.0457,4.57
n75,ours(run7),n50,run7,100,100,100.0,373.0,405.9,26.0,26.7,405.9,0.0383,0.041,4.1
n75,ours_online_kl(run7),n50,run7,100,100,100.0,361.5,394.4,25.0,25.7,394.4,0.2153,0.2403,24.03
n75,ours_online_success_kl(run7),n50,run7,100,100,100.0,371.5,397.6,26.0,26.1,397.6,0.094,0.0998,9.98
n100,minbreak,n50,run7,100,100,100.0,40926.0,39721.9,65.5,73.4,39721.9,0.6405,0.6361,63.61
n100,noveltyplus,n50,run7,100,100,100.0,1817.0,2111.3,62.0,66.5,2111.3,0.0407,0.0455,4.55
n100,interian(n50),n50,run7,100,100,100.0,1317.5,1575.0,60.0,64.3,1575.0,0.1075,0.1286,12.86
n100,ours(run7),n50,run7,100,100,100.0,1152.5,1653.3,46.5,49.4,1653.3,0.1113,0.1549,15.49
n100,ours_online_kl(run7),n50,run7,100,100,100.0,1059.5,1379.9,47.0,48.9,1379.9,0.754,0.9949,99.49
n100,ours_online_success_kl(run7),n50,run7,100,100,100.0,1127.0,1678.3,49.0,50.8,1678.3,0.2661,0.3976,39.76
